username,last_saved,run,topics,user_select,show_voided,sort_by_shot,ascending,null_shots_first,auto_update,auto_scroll,scroll_top,max_rows,fontsize,show_test,GUID,id
kirill,6/1/05,0,"('CXRS','ECE','HIREX','OPS','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','RF','SESSION_LEADER','SL_PLAN','SL_SUMMARY','TCI','THOMPSON','Z_METER')",ME,N,-1,0,0,-1,-1,-1,320,1,,{BD7927CC-D951-E711-ABE8-0050568A3DF0},{BD7927CC-D951-E711-ABE8-0050568A3DF0}
granetz,6/1/05,0,"('DNB','ENGOPS','HIREX','HYBRID','LH','MHD','OPS','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','POWER_SYSTEMS','RF','SESSION_LEADER','SL_PLAN','SL_SUMMARY','SPECTROSCOPY','XTOMO')",me,N,-1,-1,-1,-1,-1,0,320,3,N,{BE7927CC-D951-E711-ABE8-0050568A3DF0},{BE7927CC-D951-E711-ABE8-0050568A3DF0}
pfeiffer,6/8/05,0,"('ENGOPS','OPS','PHYSICS_OPERATOR','PO_PLAN','POWER_SYSTEMS','RF','SESSION_LEADER','SL_PLAN')",ME,N,-1,0,-1,-1,-1,-1,80,3,Y,{BF7927CC-D951-E711-ABE8-0050568A3DF0},{BF7927CC-D951-E711-ABE8-0050568A3DF0}
edlund,6/10/05,1160901,"('CXRS','DNB','MHD','OPS','PCI','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','REFLECTOMETER','SESSION_LEADER','SL_PLAN','SL_SUMMARY','THOMPSON')",,N,-1,0,0,-1,-1,-1,320,1,Y,{C07927CC-D951-E711-ABE8-0050568A3DF0},{C07927CC-D951-E711-ABE8-0050568A3DF0}
bonoli,6/21/05,0,"('SESSION_LEADER','PHYSICS_OPERATOR')",ME,N,-1,-1,0,-1,-1,-1,80,1,,{C17927CC-D951-E711-ABE8-0050568A3DF0},{C17927CC-D951-E711-ABE8-0050568A3DF0}
cziegler,10/5/05,1120224,"('GPI','SESSION_LEADER','SL_SUMMARY')",,N,-1,-1,0,-1,-1,-1,80,1,Y,{C27927CC-D951-E711-ABE8-0050568A3DF0},{C27927CC-D951-E711-ABE8-0050568A3DF0}
binus,11/23/05,0,"('ENGOPS','FTCI','MHD','PHYSICS_OPERATOR','RF','RF_MONITOR','SESSION_LEADER')",ylin,N,-1,0,0,-1,-1,-1,320,3,Y,{C37927CC-D951-E711-ABE8-0050568A3DF0},{C37927CC-D951-E711-ABE8-0050568A3DF0}
izzo,3/7/06,1060622,"('PHYSICS_OPERATOR','SESSION_LEADER','SL_PLAN','THOMPSON')",,B,-1,0,0,-1,-1,-1,320,1,,{C47927CC-D951-E711-ABE8-0050568A3DF0},{C47927CC-D951-E711-ABE8-0050568A3DF0}
alipkin,4/14/06,1051121,"('DISCHARGE_CLEAN','PHYSICS_OPERATOR','PO_PLAN','PO_SUMMARY','SESSION_LEADER','SL_PLAN','SL_SUMMARY')",ME,N,-1,-1,0,-1,-1,-1,80,1,,{C57927CC-D951-E711-ABE8-0050568A3DF0},{C57927CC-D951-E711-ABE8-0050568A3DF0}
xjzhang,5/5/06,0,('RF'),ME,N,-1,-1,0,-1,-1,-1,80,1,Y,{C67927CC-D951-E711-ABE8-0050568A3DF0},{C67927CC-D951-E711-ABE8-0050568A3DF0}
